corpus	value	metric	metric_type	technique	random_seed
WikiNER-en	92.	tp	exact	nothing	42
WikiNER-en	0.6715	precision	exact	nothing	42
WikiNER-en	0.6053	recall	exact	nothing	42
WikiNER-en	0.6367	f1	exact	nothing	42
WikiNER-en	50.	PER_tp	exact	nothing	42
WikiNER-en	0.8475	PER_precision	exact	nothing	42
WikiNER-en	0.7692	PER_recall	exact	nothing	42
WikiNER-en	0.8065	PER_f1	exact	nothing	42
WikiNER-en	25.	LOC_tp	exact	nothing	42
WikiNER-en	0.7353	LOC_precision	exact	nothing	42
WikiNER-en	0.4630	LOC_recall	exact	nothing	42
WikiNER-en	0.5682	LOC_f1	exact	nothing	42
WikiNER-en	17.	ORG_tp	exact	nothing	42
WikiNER-en	0.3864	ORG_precision	exact	nothing	42
WikiNER-en	0.5152	ORG_recall	exact	nothing	42
WikiNER-en	0.4416	ORG_f1	exact	nothing	42
WikiNER-en	94.	tp	partial	nothing	42
WikiNER-en	0.6861	precision	partial	nothing	42
WikiNER-en	0.6184	recall	partial	nothing	42
WikiNER-en	0.6505	f1	partial	nothing	42
WikiNER-en	51.	PER_tp	partial	nothing	42
WikiNER-en	0.8644	PER_precision	partial	nothing	42
WikiNER-en	0.7846	PER_recall	partial	nothing	42
WikiNER-en	0.8226	PER_f1	partial	nothing	42
WikiNER-en	25.	LOC_tp	partial	nothing	42
WikiNER-en	0.7353	LOC_precision	partial	nothing	42
WikiNER-en	0.4630	LOC_recall	partial	nothing	42
WikiNER-en	0.5682	LOC_f1	partial	nothing	42
WikiNER-en	18.	ORG_tp	partial	nothing	42
WikiNER-en	0.4091	ORG_precision	partial	nothing	42
WikiNER-en	0.5455	ORG_recall	partial	nothing	42
WikiNER-en	0.4675	ORG_f1	partial	nothing	42
WikiNER-en	102.	tp	exact	control	42
WikiNER-en	0.5965	precision	exact	control	42
WikiNER-en	0.6711	recall	exact	control	42
WikiNER-en	0.6316	f1	exact	control	42
WikiNER-en	52.	PER_tp	exact	control	42
WikiNER-en	0.8966	PER_precision	exact	control	42
WikiNER-en	0.8000	PER_recall	exact	control	42
WikiNER-en	0.8254	PER_f1	exact	control	42
WikiNER-en	35.	LOC_tp	exact	control	42
WikiNER-en	0.6364	LOC_precision	exact	control	42
WikiNER-en	0.6481	LOC_recall	exact	control	42
WikiNER-en	0.6422	LOC_f1	exact	control	42
WikiNER-en	15.	ORG_tp	exact	control	42
WikiNER-en	0.2586	ORG_precision	exact	control	42
WikiNER-en	0.4545	ORG_recall	exact	control	42
WikiNER-en	0.3297	ORG_f1	exact	control	42
WikiNER-en	108.	tp	partial	control	42
WikiNER-en	0.6316	precision	partial	control	42
WikiNER-en	0.7105	recall	partial	control	42
WikiNER-en	0.6687	f1	partial	control	42
WikiNER-en	52.	PER_tp	partial	control	42
WikiNER-en	0.8966	PER_precision	partial	control	42
WikiNER-en	0.8000	PER_recall	partial	control	42
WikiNER-en	0.8413	PER_f1	partial	control	42
WikiNER-en	36.	LOC_tp	partial	control	42
WikiNER-en	0.6545	LOC_precision	partial	control	42
WikiNER-en	0.6667	LOC_recall	partial	control	42
WikiNER-en	0.6606	LOC_f1	partial	control	42
WikiNER-en	20.	ORG_tp	partial	control	42
WikiNER-en	0.3448	ORG_precision	partial	control	42
WikiNER-en	0.6061	ORG_recall	partial	control	42
WikiNER-en	0.4396	ORG_f1	partial	control	42
WikiNER-en	97.	tp	exact	beam_search	42
WikiNER-en	0.7132	precision	exact	beam_search	42
WikiNER-en	0.6382	recall	exact	beam_search	42
WikiNER-en	0.6736	f1	exact	beam_search	42
WikiNER-en	50.	PER_tp	exact	beam_search	42
WikiNER-en	0.8621	PER_precision	exact	beam_search	42
WikiNER-en	0.7692	PER_recall	exact	beam_search	42
WikiNER-en	0.8455	PER_f1	exact	beam_search	42
WikiNER-en	31.	LOC_tp	exact	beam_search	42
WikiNER-en	0.7949	LOC_precision	exact	beam_search	42
WikiNER-en	0.5741	LOC_recall	exact	beam_search	42
WikiNER-en	0.6667	LOC_f1	exact	beam_search	42
WikiNER-en	16.	ORG_tp	exact	beam_search	42
WikiNER-en	0.4103	ORG_precision	exact	beam_search	42
WikiNER-en	0.4848	ORG_recall	exact	beam_search	42
WikiNER-en	0.4444	ORG_f1	exact	beam_search	42
WikiNER-en	99.	tp	partial	beam_search	42
WikiNER-en	0.7279	precision	partial	beam_search	42
WikiNER-en	0.6513	recall	partial	beam_search	42
WikiNER-en	0.6875	f1	partial	beam_search	42
WikiNER-en	51.	PER_tp	partial	beam_search	42
WikiNER-en	0.8793	PER_precision	partial	beam_search	42
WikiNER-en	0.7846	PER_recall	partial	beam_search	42
WikiNER-en	0.8455	PER_f1	partial	beam_search	42
WikiNER-en	31.	LOC_tp	partial	beam_search	42
WikiNER-en	0.7949	LOC_precision	partial	beam_search	42
WikiNER-en	0.5741	LOC_recall	partial	beam_search	42
WikiNER-en	0.6667	LOC_f1	partial	beam_search	42
WikiNER-en	17.	ORG_tp	partial	beam_search	42
WikiNER-en	0.4359	ORG_precision	partial	beam_search	42
WikiNER-en	0.5152	ORG_recall	partial	beam_search	42
WikiNER-en	0.4722	ORG_f1	partial	beam_search	42
WikiNER-en	18463.0	tp	exact	training	42
WikiNER-en	0.7076115012168884	precision	exact	training	42
WikiNER-en	0.8305442929267883	recall	exact	training	42
WikiNER-en	0.7641654014587402	f1	exact	training	42
WikiNER-en	8889.0	PER_tp	exact	training	42
WikiNER-en	0.7139759063720703	PER_precision	exact	training	42
WikiNER-en	0.9383510947227478	PER_recall	exact	training	42
WikiNER-en	0.8109291791915894	PER_f1	exact	training	42
WikiNER-en	7153.0	LOC_tp	exact	training	42
WikiNER-en	0.7662560343742371	LOC_precision	exact	training	42
WikiNER-en	0.7932793498039246	LOC_recall	exact	training	42
WikiNER-en	0.7795335650444031	LOC_f1	exact	training	42
WikiNER-en	2421.0	ORG_tp	exact	training	42
WikiNER-en	0.5621082186698914	ORG_precision	exact	training	42
WikiNER-en	0.6473262310028076	ORG_recall	exact	training	42
WikiNER-en	0.6017149090766907	ORG_f1	exact	training	42
WikiNER-en	19503.0	tp	partial	training	42
WikiNER-en	0.747470498085022	precision	partial	training	42
WikiNER-en	0.8773279190063477	recall	partial	training	42
WikiNER-en	0.8072099685668945	f1	partial	training	42
WikiNER-en	9160.0	PER_tp	partial	training	42
WikiNER-en	0.73574298620224	PER_precision	partial	training	42
WikiNER-en	0.9669587016105652	PER_recall	partial	training	42
WikiNER-en	0.8356520533561707	PER_f1	partial	training	42
WikiNER-en	7592.0	LOC_tp	partial	training	42
WikiNER-en	0.8132833242416382	LOC_precision	partial	training	42
WikiNER-en	0.8419651985168457	LOC_recall	partial	training	42
WikiNER-en	0.8273757696151733	LOC_f1	partial	training	42
WikiNER-en	2751.0	ORG_tp	partial	training	42
WikiNER-en	0.6387276649475098	ORG_precision	partial	training	42
WikiNER-en	0.7355614900588989	ORG_recall	partial	training	42
WikiNER-en	0.6837330460548401	ORG_f1	partial	training	42
WikiNER-fr	71.	tp	exact	nothing	42
WikiNER-fr	0.5338	precision	exact	nothing	42
WikiNER-fr	0.4581	recall	exact	nothing	42
WikiNER-fr	0.4931	f1	exact	nothing	42
WikiNER-fr	27.	PER_tp	exact	nothing	42
WikiNER-fr	0.6923	PER_precision	exact	nothing	42
WikiNER-fr	0.5000	PER_recall	exact	nothing	42
WikiNER-fr	0.5806	PER_f1	exact	nothing	42
WikiNER-fr	37.	LOC_tp	exact	nothing	42
WikiNER-fr	0.5873	LOC_precision	exact	nothing	42
WikiNER-fr	0.4253	LOC_recall	exact	nothing	42
WikiNER-fr	0.4933	LOC_f1	exact	nothing	42
WikiNER-fr	7.	ORG_tp	exact	nothing	42
WikiNER-fr	0.2258	ORG_precision	exact	nothing	42
WikiNER-fr	0.5000	ORG_recall	exact	nothing	42
WikiNER-fr	0.3111	ORG_f1	exact	nothing	42
WikiNER-fr	80.	tp	partial	nothing	42
WikiNER-fr	0.6015	precision	partial	nothing	42
WikiNER-fr	0.5161	recall	partial	nothing	42
WikiNER-fr	0.5556	f1	partial	nothing	42
WikiNER-fr	28.	PER_tp	partial	nothing	42
WikiNER-fr	0.7179	PER_precision	partial	nothing	42
WikiNER-fr	0.5185	PER_recall	partial	nothing	42
WikiNER-fr	0.6022	PER_f1	partial	nothing	42
WikiNER-fr	44.	LOC_tp	partial	nothing	42
WikiNER-fr	0.6984	LOC_precision	partial	nothing	42
WikiNER-fr	0.5057	LOC_recall	partial	nothing	42
WikiNER-fr	0.5867	LOC_f1	partial	nothing	42
WikiNER-fr	8.	ORG_tp	partial	nothing	42
WikiNER-fr	0.2581	ORG_precision	partial	nothing	42
WikiNER-fr	0.5714	ORG_recall	partial	nothing	42
WikiNER-fr	0.3556	ORG_f1	partial	nothing	42
WikiNER-fr	100.	tp	exact	control	42
WikiNER-fr	0.5714	precision	exact	control	42
WikiNER-fr	0.6452	recall	exact	control	42
WikiNER-fr	0.6061	f1	exact	control	42
WikiNER-fr	37.	PER_tp	exact	control	42
WikiNER-fr	0.7872	PER_precision	exact	control	42
WikiNER-fr	0.6852	PER_recall	exact	control	42
WikiNER-fr	0.7327	PER_f1	exact	control	42
WikiNER-fr	54.	LOC_tp	exact	control	42
WikiNER-fr	0.5934	LOC_precision	exact	control	42
WikiNER-fr	0.6207	LOC_recall	exact	control	42
WikiNER-fr	0.6067	LOC_f1	exact	control	42
WikiNER-fr	9.	ORG_tp	exact	control	42
WikiNER-fr	0.2432	ORG_precision	exact	control	42
WikiNER-fr	0.6429	ORG_recall	exact	control	42
WikiNER-fr	0.3182	ORG_f1	exact	control	42
WikiNER-fr	112.	tp	partial	control	42
WikiNER-fr	0.6400	precision	partial	control	42
WikiNER-fr	0.7226	recall	partial	control	42
WikiNER-fr	0.6788	f1	partial	control	42
WikiNER-fr	37.	PER_tp	partial	control	42
WikiNER-fr	0.7872	PER_precision	partial	control	42
WikiNER-fr	0.6852	PER_recall	partial	control	42
WikiNER-fr	0.7327	PER_f1	partial	control	42
WikiNER-fr	66.	LOC_tp	partial	control	42
WikiNER-fr	0.7253	LOC_precision	partial	control	42
WikiNER-fr	0.7586	LOC_recall	partial	control	42
WikiNER-fr	0.7416	LOC_f1	partial	control	42
WikiNER-fr	9.	ORG_tp	partial	control	42
WikiNER-fr	0.2432	ORG_precision	partial	control	42
WikiNER-fr	0.6429	ORG_recall	partial	control	42
WikiNER-fr	0.3529	ORG_f1	partial	control	42
WikiNER-fr	74.	tp	exact	beam_search	42
WikiNER-fr	0.5522	precision	exact	beam_search	42
WikiNER-fr	0.4774	recall	exact	beam_search	42
WikiNER-fr	0.5121	f1	exact	beam_search	42
WikiNER-fr	32.	PER_tp	exact	beam_search	42
WikiNER-fr	0.7805	PER_precision	exact	beam_search	42
WikiNER-fr	0.5926	PER_recall	exact	beam_search	42
WikiNER-fr	0.6737	PER_f1	exact	beam_search	42
WikiNER-fr	35.	LOC_tp	exact	beam_search	42
WikiNER-fr	0.5738	LOC_precision	exact	beam_search	42
WikiNER-fr	0.4023	LOC_recall	exact	beam_search	42
WikiNER-fr	0.4730	LOC_f1	exact	beam_search	42
WikiNER-fr	7.	ORG_tp	exact	beam_search	42
WikiNER-fr	0.2188	ORG_precision	exact	beam_search	42
WikiNER-fr	0.5000	ORG_recall	exact	beam_search	42
WikiNER-fr	0.3529	ORG_f1	exact	beam_search	42
WikiNER-fr	85.	tp	partial	beam_search	42
WikiNER-fr	0.6343	precision	partial	beam_search	42
WikiNER-fr	0.5484	recall	partial	beam_search	42
WikiNER-fr	0.5882	f1	partial	beam_search	42
WikiNER-fr	33.	PER_tp	partial	beam_search	42
WikiNER-fr	0.8049	PER_precision	partial	beam_search	42
WikiNER-fr	0.6111	PER_recall	partial	beam_search	42
WikiNER-fr	0.6947	PER_f1	partial	beam_search	42
WikiNER-fr	44.	LOC_tp	partial	beam_search	42
WikiNER-fr	0.7213	LOC_precision	partial	beam_search	42
WikiNER-fr	0.5057	LOC_recall	partial	beam_search	42
WikiNER-fr	0.5946	LOC_f1	partial	beam_search	42
WikiNER-fr	8.	ORG_tp	partial	beam_search	42
WikiNER-fr	0.2500	ORG_precision	partial	beam_search	42
WikiNER-fr	0.5714	ORG_recall	partial	beam_search	42
WikiNER-fr	0.3478	ORG_f1	partial	beam_search	42
WikiNER-fr	17018.0	tp	exact	training	42
WikiNER-fr	0.7614998817443848	precision	exact	training	42
WikiNER-fr	0.8279653787612915	recall	exact	training	42
WikiNER-fr	0.7933429479598999	f1	exact	training	42
WikiNER-fr	6869.0	PER_tp	exact	training	42
WikiNER-fr	0.8344266414642334	PER_precision	exact	training	42
WikiNER-fr	0.9313898086547852	PER_recall	exact	training	42
WikiNER-fr	0.8802460432052612	PER_f1	exact	training	42
WikiNER-fr	8728.0	LOC_tp	exact	training	42
WikiNER-fr	0.7513127326965332	LOC_precision	exact	training	42
WikiNER-fr	0.8158534169197083	LOC_recall	exact	training	42
WikiNER-fr	0.7822540998458862	LOC_f1	exact	training	42
WikiNER-fr	1421.0	ORG_tp	exact	training	42
WikiNER-fr	0.5686274766921997	ORG_precision	exact	training	42
WikiNER-fr	0.5727528929710388	ORG_recall	exact	training	42
WikiNER-fr	0.5706827044487	ORG_f1	exact	training	42
WikiNER-fr	18883.0	tp	partial	training	42
WikiNER-fr	0.8449525833129883	precision	partial	training	42
WikiNER-fr	0.9187019467353821	recall	partial	training	42
WikiNER-fr	0.8802853226661682	f1	partial	training	42
WikiNER-fr	7106.0	PER_tp	partial	training	42
WikiNER-fr	0.8632166981697083	PER_precision	partial	training	42
WikiNER-fr	0.9635254144668579	PER_recall	partial	training	42
WikiNER-fr	0.9106170535087585	PER_f1	partial	training	42
WikiNER-fr	10071.0	LOC_tp	partial	training	42
WikiNER-fr	0.8669191598892212	LOC_precision	partial	training	42
WikiNER-fr	0.9413909316062927	LOC_recall	partial	training	42
WikiNER-fr	0.9026215672492981	LOC_f1	partial	training	42
WikiNER-fr	1706.0	ORG_tp	partial	training	42
WikiNER-fr	0.6826730966567993	ORG_precision	partial	training	42
WikiNER-fr	0.6876259446144104	ORG_recall	partial	training	42
WikiNER-fr	0.6851405501365662	ORG_f1	partial	training	42
QuaeroFrenchMed	98.	tp	exact	nothing	42
QuaeroFrenchMed	0.2707	precision	exact	nothing	42
QuaeroFrenchMed	0.2426	recall	exact	nothing	42
QuaeroFrenchMed	0.2559	f1	exact	nothing	42
QuaeroFrenchMed	16.	ANAT_tp	exact	nothing	42
QuaeroFrenchMed	0.2712	ANAT_precision	exact	nothing	42
QuaeroFrenchMed	0.2353	ANAT_recall	exact	nothing	42
QuaeroFrenchMed	0.2520	ANAT_f1	exact	nothing	42
QuaeroFrenchMed	14.	CHEM_tp	exact	nothing	42
QuaeroFrenchMed	0.3889	CHEM_precision	exact	nothing	42
QuaeroFrenchMed	0.2545	CHEM_recall	exact	nothing	42
QuaeroFrenchMed	0.3077	CHEM_f1	exact	nothing	42
QuaeroFrenchMed	1.	DEVI_tp	exact	nothing	42
QuaeroFrenchMed	0.0385	DEVI_precision	exact	nothing	42
QuaeroFrenchMed	0.1667	DEVI_recall	exact	nothing	42
QuaeroFrenchMed	0.0625	DEVI_f1	exact	nothing	42
QuaeroFrenchMed	26.	DISO_tp	exact	nothing	42
QuaeroFrenchMed	0.5652	DISO_precision	exact	nothing	42
QuaeroFrenchMed	0.2281	DISO_recall	exact	nothing	42
QuaeroFrenchMed	0.3250	DISO_f1	exact	nothing	42
QuaeroFrenchMed	4.	GEOG_tp	exact	nothing	42
QuaeroFrenchMed	0.2500	GEOG_precision	exact	nothing	42
QuaeroFrenchMed	0.5714	GEOG_recall	exact	nothing	42
QuaeroFrenchMed	0.3478	GEOG_f1	exact	nothing	42
QuaeroFrenchMed	12.	LIVB_tp	exact	nothing	42
QuaeroFrenchMed	0.6667	LIVB_precision	exact	nothing	42
QuaeroFrenchMed	0.2927	LIVB_recall	exact	nothing	42
QuaeroFrenchMed	0.4068	LIVB_f1	exact	nothing	42
QuaeroFrenchMed	1.	OBJC_tp	exact	nothing	42
QuaeroFrenchMed	0.1111	OBJC_precision	exact	nothing	42
QuaeroFrenchMed	0.1000	OBJC_recall	exact	nothing	42
QuaeroFrenchMed	0.1053	OBJC_f1	exact	nothing	42
QuaeroFrenchMed	1.	PHEN_tp	exact	nothing	42
QuaeroFrenchMed	0.0238	PHEN_precision	exact	nothing	42
QuaeroFrenchMed	0.1000	PHEN_recall	exact	nothing	42
QuaeroFrenchMed	0.0385	PHEN_f1	exact	nothing	42
QuaeroFrenchMed	0.	PHYS_tp	exact	nothing	42
QuaeroFrenchMed	0.	PHYS_precision	exact	nothing	42
QuaeroFrenchMed	0.	PHYS_recall	exact	nothing	42
QuaeroFrenchMed	0.	PHYS_f1	exact	nothing	42
QuaeroFrenchMed	23.	PROC_tp	exact	nothing	42
QuaeroFrenchMed	0.2447	PROC_precision	exact	nothing	42
QuaeroFrenchMed	0.3108	PROC_recall	exact	nothing	42
QuaeroFrenchMed	0.2738	PROC_f1	exact	nothing	42
QuaeroFrenchMed	131.	tp	partial	nothing	42
QuaeroFrenchMed	0.3619	precision	partial	nothing	42
QuaeroFrenchMed	0.3243	recall	partial	nothing	42
QuaeroFrenchMed	0.3420	f1	partial	nothing	42
QuaeroFrenchMed	26.	ANAT_tp	partial	nothing	42
QuaeroFrenchMed	0.4407	ANAT_precision	partial	nothing	42
QuaeroFrenchMed	0.3824	ANAT_recall	partial	nothing	42
QuaeroFrenchMed	0.4094	ANAT_f1	partial	nothing	42
QuaeroFrenchMed	17.	CHEM_tp	partial	nothing	42
QuaeroFrenchMed	0.4722	CHEM_precision	partial	nothing	42
QuaeroFrenchMed	0.3091	CHEM_recall	partial	nothing	42
QuaeroFrenchMed	0.3736	CHEM_f1	partial	nothing	42
QuaeroFrenchMed	3.	DEVI_tp	partial	nothing	42
QuaeroFrenchMed	0.1154	DEVI_precision	partial	nothing	42
QuaeroFrenchMed	0.5000	DEVI_recall	partial	nothing	42
QuaeroFrenchMed	0.1875	DEVI_f1	partial	nothing	42
QuaeroFrenchMed	33.	DISO_tp	partial	nothing	42
QuaeroFrenchMed	0.7174	DISO_precision	partial	nothing	42
QuaeroFrenchMed	0.2895	DISO_recall	partial	nothing	42
QuaeroFrenchMed	0.4125	DISO_f1	partial	nothing	42
QuaeroFrenchMed	5.	GEOG_tp	partial	nothing	42
QuaeroFrenchMed	0.3125	GEOG_precision	partial	nothing	42
QuaeroFrenchMed	0.7143	GEOG_recall	partial	nothing	42
QuaeroFrenchMed	0.4348	GEOG_f1	partial	nothing	42
QuaeroFrenchMed	13.	LIVB_tp	partial	nothing	42
QuaeroFrenchMed	0.7222	LIVB_precision	partial	nothing	42
QuaeroFrenchMed	0.3171	LIVB_recall	partial	nothing	42
QuaeroFrenchMed	0.4407	LIVB_f1	partial	nothing	42
QuaeroFrenchMed	1.	OBJC_tp	partial	nothing	42
QuaeroFrenchMed	0.1111	OBJC_precision	partial	nothing	42
QuaeroFrenchMed	0.1000	OBJC_recall	partial	nothing	42
QuaeroFrenchMed	0.1053	OBJC_f1	partial	nothing	42
QuaeroFrenchMed	2.	PHEN_tp	partial	nothing	42
QuaeroFrenchMed	0.0476	PHEN_precision	partial	nothing	42
QuaeroFrenchMed	0.2000	PHEN_recall	partial	nothing	42
QuaeroFrenchMed	0.0769	PHEN_f1	partial	nothing	42
QuaeroFrenchMed	0.	PHYS_tp	partial	nothing	42
QuaeroFrenchMed	0.	PHYS_precision	partial	nothing	42
QuaeroFrenchMed	0.	PHYS_recall	partial	nothing	42
QuaeroFrenchMed	0.	PHYS_f1	partial	nothing	42
QuaeroFrenchMed	31.	PROC_tp	partial	nothing	42
